@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric

@data
31,'2019/05/28 21:03:41:651',1,0.861132,-0.06901,0.601924,0.225856,0.17725,-0.059365,0.133701,0.164661,0.275929,0.339133,0.303001,0.246876,0.209517,1,0,0,0
32,'2019/05/28 21:03:41:668',1,0.992999,0.147061,0.640534,0.213338,0.256675,0.216897,0.171947,0.234119,0.192888,0.219141,0.209079,0.054095,0.109904,1,0,0,0
33,'2019/05/28 21:03:41:684',1,0.777665,-0.276315,0.574646,0.27497,0.040065,-0.126677,0.088937,0.310343,0.335733,0.269302,0.095373,0.241316,0.307472,1,0,0,0
34,'2019/05/28 21:03:41:702',1,0.884403,0.014597,0.719515,0.298059,0.20674,0.06237,0.11787,0.216505,0.211155,0.217135,0.280524,0.284382,0.32541,1,0,0,0
35,'2019/05/28 21:03:41:718',1,0.913693,-0.108217,0.466091,0.091722,0.165382,0.023023,0.073066,0.232503,0.257343,0.312508,0.358831,0.304446,0.454749,1,0,0,0
36,'2019/05/28 21:03:41:735',1,0.956453,0.06826,0.733794,0.247769,0.117391,0.003545,0.008316,0.181456,0.211579,0.317721,0.325933,0.105602,0.204508,1,0,0,0
37,'2019/05/28 21:03:41:752',1,0.948327,0.031499,0.67608,0.421335,0.384602,0.135763,0.126764,0.341371,0.139391,0.0957,0.338857,0.15023,0.176527,1,0,0,0
38,'2019/05/28 21:03:41:768',1,0.84961,-0.076049,0.790522,0.338077,0.312134,0.05898,0.226778,0.236856,0.178853,0.144848,0.274409,0.280865,0.239743,1,0,0,0
39,'2019/05/28 21:03:41:785',1,0.894773,-0.098182,0.421466,0.275938,0.364279,0.041161,0.243516,0.343662,0.357064,0.321872,0.284278,0.154509,0.160318,1,0,0,0
40,'2019/05/28 21:03:41:801',1,1.002064,0.15832,0.68749,0.251555,0.198007,-0.061707,0.026053,0.202458,0.371886,0.258829,0.35774,0.252554,0.132755,1,0,0,0
41,'2019/05/28 21:03:41:818',1,0.921567,0.08024,0.564772,0.303117,0.328412,0.137683,0.158494,0.216345,0.257608,0.304329,0.263711,0.079458,0.134559,1,0,0,0
42,'2019/05/28 21:03:41:834',1,1.009362,0.154229,0.597823,0.281009,0.148966,0.016467,0.059489,0.154511,0.276827,0.248263,0.303963,0.201921,0.261643,1,0,0,0
43,'2019/05/28 21:03:41:851',1,0.856812,0.081813,0.661935,0.187889,0.191122,0.118706,0.239587,0.432002,0.248194,0.352177,0.352499,0.10307,0.169295,1,0,0,0
44,'2019/05/28 21:03:41:868',1,0.884004,-0.076223,0.854315,0.419729,0.35486,0.107267,0.153513,0.188596,0.181107,0.246138,0.273172,0.068486,0.149486,1,0,0,0
45,'2019/05/28 21:03:41:884',1,0.933871,0.072295,0.795265,0.387541,0.289697,0.031258,0.276698,0.433853,0.276999,0.122204,0.095355,0.091258,0.121055,1,0,0,0
46,'2019/05/28 21:03:41:902',1,0.772298,-0.098462,0.694245,0.340274,0.391474,0.136532,0.377876,0.266327,0.231351,0.151259,0.155888,0.310296,0.20789,1,0,0,0
47,'2019/05/28 21:03:41:918',1,0.966461,0.241206,0.562491,0.121972,0.240684,0.001268,0.191587,0.294208,0.24836,0.337263,0.315819,0.144705,0.138291,1,0,0,0
48,'2019/05/28 21:03:41:935',1,0.942262,0.190535,0.614082,0.016882,0.151007,0.204355,0.304671,0.235054,0.11399,0.172199,0.439777,0.182525,0.21379,1,0,0,0
49,'2019/05/28 21:03:41:952',1,0.799511,-0.070835,0.5999,0.184025,0.151073,0.007505,0.105962,0.154944,0.258156,0.277801,0.295193,0.342349,0.4036,1,0,0,0
50,'2019/05/28 21:03:41:968',1,0.862071,-0.18329,0.485458,0.217444,0.425128,0.249317,0.276286,0.401447,0.429651,0.267961,0.316546,-0.030295,-0.008939,1,0,0,0
51,'2019/05/28 21:03:41:984',1,0.895728,0.13139,0.741871,0.404508,0.335042,0.148959,0.226861,0.269783,0.147356,0.120894,0.171766,0.153248,0.272676,1,0,0,0
52,'2019/05/28 21:03:42:002',1,0.79721,-0.199687,0.703413,0.380648,0.303079,0.052998,0.140113,0.280886,0.343269,0.398365,0.286937,0.11747,0.169066,1,0,0,0
53,'2019/05/28 21:03:42:018',1,0.865905,-0.116107,0.61076,0.36858,0.225868,0.109246,0.240111,0.303289,0.312959,0.19346,0.231429,0.158213,0.085455,1,0,0,0
54,'2019/05/28 21:03:42:035',1,0.873226,-0.004455,0.518687,0.244737,0.283494,0.122108,0.202419,0.279013,0.228696,0.257683,0.286358,0.1948,0.151793,1,0,0,0
55,'2019/05/28 21:03:42:052',1,0.880962,0.115693,0.687859,0.288168,0.365086,0.172355,0.313471,0.281111,0.062769,0.011035,0.213803,0.257345,0.129496,1,0,0,0
56,'2019/05/28 21:03:42:068',1,0.861204,-0.034994,0.655693,0.34456,0.44328,0.153712,0.172394,0.162151,0.205414,0.273595,0.369885,0.235114,0.2124,1,0,0,0
57,'2019/05/28 21:03:42:085',1,0.886328,-0.096063,0.57697,0.454627,0.23647,-0.056913,0.133223,0.276836,0.458375,0.360147,0.514206,0.244138,0.307189,1,0,0,0
58,'2019/05/28 21:03:42:101',1,0.958197,0.049935,0.693333,0.317599,0.184634,0.040116,0.285945,0.231585,0.226922,0.199382,0.219539,0.133039,0.106004,1,0,0,0
59,'2019/05/28 21:03:42:118',1,0.84655,0.045515,0.735181,0.296517,0.224051,0.151349,0.223934,0.187003,0.192797,0.261579,0.384049,0.155623,0.200168,1,0,0,0
60,'2019/05/28 21:03:42:134',1,0.903899,0.055989,0.873041,0.248818,0.13885,-0.008698,0.072521,0.20731,0.296215,0.28641,0.187877,0.174108,0.274996,1,0,0,0
61,'2019/05/28 21:03:42:151',1,0.82997,-0.05149,0.689901,0.459146,0.345403,0.137457,0.211874,0.141723,0.20432,0.101738,0.209597,0.132166,0.38718,1,0,0,0
62,'2019/05/28 21:03:42:168',1,0.913803,0.168814,0.752349,0.247883,0.156139,-0.086766,0.008886,0.143216,0.203027,0.219813,0.359013,0.229458,0.182391,1,0,0,0
63,'2019/05/28 21:03:42:185',1,0.742157,-0.134308,0.465388,0.298636,0.264395,0.227636,0.293964,0.342125,0.309302,0.271078,0.306599,0.163126,0.213075,1,0,0,0
64,'2019/05/28 21:03:42:202',1,0.999641,0.043012,0.712721,0.363225,0.113438,0.007003,0.157959,0.249969,0.26602,0.354409,0.136453,0.064098,0.16116,1,0,0,0
65,'2019/05/28 21:03:42:218',1,0.630838,-0.205692,0.516065,0.205878,0.225862,0.262698,0.440573,0.323245,0.29162,0.295289,0.270571,0.206814,0.239992,1,0,0,0
66,'2019/05/28 21:03:42:235',1,0.828317,-0.121343,0.699657,0.334166,0.237336,0.181387,0.374466,0.299992,0.249911,0.217735,0.229404,0.232262,0.24064,1,0,0,0
67,'2019/05/28 21:03:42:251',1,0.866034,-0.077527,0.613925,0.225169,0.213342,0.031786,0.159522,0.350898,0.237521,0.118413,0.178608,0.228933,0.326177,1,0,0,0
